hgnc_symbol	ensembl_gene_id	entrez_gene_id
HTRA1	ENSG00000166033	5654
NMNAT2	ENSG00000157064	23057
ITGB4	ENSG00000132470	3691
MAP2	ENSG00000078018	4133
CACHD1	ENSG00000158966	57685
MT1X	ENSG00000187193	4501
LINC00960	ENSG00000242516	401074
C1QTNF1	ENSG00000173918	114897
CDKN2A	ENSG00000147889	1029
SRGN	ENSG00000122862	5552
PITX1	ENSG00000069011	5307
FBXO32	ENSG00000156804	114907
SYNPO	ENSG00000171992	11346
GPRC5B	ENSG00000167191	51704
HSD17B14	ENSG00000087076	51171
KRT81	ENSG00000205426	3887
LAMC3	ENSG00000050555	10319
SOX9	ENSG00000125398	6662
SUGCT	ENSG00000175600	79783
YIF1B	ENSG00000167645	90522
NES	ENSG00000132688	10763
PDGFC	ENSG00000145431	56034
SERPINB7	ENSG00000166396	8710
COL4A1	ENSG00000187498	1282
HOXB7	ENSG00000260027	3217
RAPH1	ENSG00000173166	65059
SLC27A1	ENSG00000130304	376497
LINC01139	ENSG00000215808	339535
LOC440982	NA	NA
KCNN4	ENSG00000104783	3783
KCNK2	ENSG00000082482	3776
ITGB2	ENSG00000160255	3689
SGIP1	ENSG00000118473	84251
EHBP1L1	ENSG00000173442	254102
ZNF697	ENSG00000143067	90874
AFAP1	ENSG00000196526	60312
GALNT15	ENSG00000131386	117248
PELI1	ENSG00000197329	57162
PDPN	ENSG00000162493	10630
TIAM1	ENSG00000156299	7074
ITGB5	ENSG00000082781	3693
HOXB5	ENSG00000120075	3215
HYI	ENSG00000178922	81888
OSMR	ENSG00000145623	9180
ST3GAL1	ENSG00000008513	6482
KIAA1462	NA	NA
CPA3	ENSG00000163751	1359
PRKAR2B	ENSG00000005249	5577
PRKAR2B	ENSG00000284096	5577
ACTC1	ENSG00000159251	70
NRIP1	ENSG00000180530	8204
COL8A1	ENSG00000144810	1295
ARRDC4	ENSG00000140450	91947
ADAMTS3	ENSG00000156140	9508
CCDC8	ENSG00000169515	83987
ARFGEF3	ENSG00000112379	57221
CTSC	ENSG00000109861	1075
HOXB6	ENSG00000108511	3216
PPP1R14A	ENSG00000167641	94274
KIAA1217	ENSG00000120549	56243
TMEM132A	ENSG00000006118	54972
TNFSF9	ENSG00000125657	8744
SLC7A7	ENSG00000155465	9056
HPSE	ENSG00000173083	10855
LOXL1	ENSG00000129038	4016
MMP3	ENSG00000149968	4314
CPEB2	ENSG00000137449	132864
PTX3	ENSG00000163661	5806
GLIPR2	ENSG00000122694	152007
GALNT18	ENSG00000110328	374378
CYP27C1	ENSG00000186684	339761
ITGA8	ENSG00000077943	8516
SPAG9	ENSG00000008294	9043
MEIS1	ENSG00000143995	4211
DGKA	ENSG00000065357	1606
PDE3B	ENSG00000152270	5140
SFRP1	ENSG00000104332	6422
TRAM2	ENSG00000065308	9697
MMD	ENSG00000108960	23531
PRR16	ENSG00000184838	51334
MARCKSL1	ENSG00000175130	65108
GATA2	ENSG00000179348	2624
MYO1E	ENSG00000157483	4643
KLF2	ENSG00000127528	10365
NDNF	ENSG00000173376	79625
SFRP2	ENSG00000145423	6423
SFTA1P	ENSG00000225383	207107
ARSI	ENSG00000183876	340075
SSBP3	ENSG00000157216	23648
MYO10	ENSG00000145555	4651
FNDC1	ENSG00000164694	84624
TENM3	ENSG00000218336	55714
HOXB-AS1	ENSG00000230148	100874362
AHNAK2	ENSG00000185567	113146
HOXD-AS2	ENSG00000237380	NA
ALPK2	ENSG00000198796	115701
HOXD3	ENSG00000128652	3232
FBL	ENSG00000105202	2091
FBL	ENSG00000280548	2091
DES	ENSG00000175084	1674
WNK4	ENSG00000126562	65266
L1TD1	ENSG00000240563	54596
TENM4	ENSG00000149256	26011
LRFN5	ENSG00000165379	145581
LOC344887	NA	NA
RPS27L	ENSG00000185088	51065
KCNS3	ENSG00000170745	3790
SOX11	ENSG00000176887	6664
CRYZ	ENSG00000116791	1429
CD163L1	ENSG00000177675	283316
HDAC1	ENSG00000116478	3065
NFATC2	ENSG00000101096	4773
GNAZ	ENSG00000128266	2781
SSH1	ENSG00000084112	54434
HOXD11	ENSG00000128713	3237
FSD1	ENSG00000105255	79187
TOB1	ENSG00000141232	10140
LACTB	ENSG00000103642	114294
FAM132B	NA	NA
CECR1	NA	NA
TAGLN	ENSG00000149591	6876
IL7R	ENSG00000168685	3575
ADAMTS15	ENSG00000166106	170689
IGFBP7	ENSG00000163453	3490
PKIG	ENSG00000168734	11142
ITIH5	ENSG00000123243	80760
LYNX1	ENSG00000180155	66004
CCL2	ENSG00000108691	6347
SPHKAP	ENSG00000153820	80309
PSG4	ENSG00000243137	5672
PRDM1	ENSG00000057657	639
CUX1	ENSG00000257923	1523
ANK2	ENSG00000145362	287
TET3	ENSG00000187605	200424
ADAMTS9	ENSG00000163638	56999
NLRP10	ENSG00000182261	338322
NLRP10	ENSG00000276780	338322
NLRP10	ENSG00000281166	338322
TMEM47	ENSG00000147027	83604
PTGS1	ENSG00000095303	5742
RGS4	ENSG00000117152	5999
SEPW1	NA	NA
LYPD3	ENSG00000124466	27076
GREM1	ENSG00000166923	26585
GREM1	ENSG00000276886	26585
GREM1	ENSG00000282046	26585
TPTEP1	ENSG00000100181	387590
TFAP2C	ENSG00000087510	7022
ABCA6	ENSG00000154262	23460
ST8SIA2	ENSG00000140557	8128
SHC2	ENSG00000129946	25759
LPAR3	ENSG00000171517	23566
MOB3B	ENSG00000120162	79817
COL4A2	ENSG00000134871	1284
ARAP3	ENSG00000120318	64411
HAND2	ENSG00000164107	9464
HOXA9	ENSG00000078399	3205
FAM213A	NA	NA
IL17RA	ENSG00000177663	23765
TMEM14A	ENSG00000096092	28978
SORT1	ENSG00000134243	6272
ACKR3	ENSG00000144476	57007
FLRT2	ENSG00000185070	23768
MYO6	ENSG00000196586	4646
FHOD3	ENSG00000134775	80206
RNF182	ENSG00000180537	221687
MYPN	ENSG00000138347	84665
KITLG	ENSG00000049130	4254
VAMP4	ENSG00000117533	8674
TRNP1	ENSG00000253368	388610
AR	ENSG00000169083	367
C1orf115	ENSG00000162817	79762
C15orf52	NA	NA
SH3BP4	ENSG00000130147	23677
SLC6A15	ENSG00000072041	55117
GSAP	ENSG00000186088	54103
CYP1B1	ENSG00000138061	1545
TNFRSF19	ENSG00000127863	55504
ADAMTS5	ENSG00000154736	11096
FOXL2NB	ENSG00000206262	401089
FOXF2	ENSG00000137273	2295
TBX2	ENSG00000121068	6909
KLF8	ENSG00000102349	11279
ANKH	ENSG00000154122	56172
RASIP1	ENSG00000105538	54922
SERPINI1	ENSG00000163536	5274
IRS2	ENSG00000185950	8660
PLEKHA2	ENSG00000169499	59339
C3	ENSG00000125730	718
PRR5L	ENSG00000135362	79899
ALDH2	ENSG00000111275	217
TGM2	ENSG00000198959	7052
RASGRP3	ENSG00000152689	25780
PALM3	ENSG00000187867	342979
PALM3	ENSG00000288318	342979
HOXA10-AS	ENSG00000253187	100874323
SEMA3A	ENSG00000075213	10371
QPRT	ENSG00000103485	23475
HACD3	ENSG00000074696	51495
UGCG	ENSG00000148154	7357
ST8SIA1	ENSG00000111728	6489
PTGIS	ENSG00000124212	5740
FOXO3	ENSG00000118689	2309
SPON1	ENSG00000262655	10418
IRAK3	ENSG00000090376	11213
NQO1	ENSG00000181019	1728
COL16A1	ENSG00000084636	1307
EFNA5	ENSG00000184349	1946
CAPN5	ENSG00000149260	726
FAM19A5	NA	NA
TPD52	ENSG00000076554	7163
SOAT1	ENSG00000057252	6646
CA12	ENSG00000074410	771
PLCE1-AS1	ENSG00000268894	NA
LINC00883	NA	NA
RGS7	ENSG00000182901	6000
CDK14	ENSG00000058091	5218
PNPLA3	ENSG00000100344	80339
TP53INP1	ENSG00000164938	94241
VEGFB	ENSG00000173511	7423
PEG3	ENSG00000198300	5178
SEPP1	NA	NA
METTL7B	ENSG00000170439	196410
SPECC1	ENSG00000128487	92521
ALDH1A1	ENSG00000165092	216
GEM	ENSG00000164949	2669
IMPDH1	ENSG00000106348	3614
PDZD2	ENSG00000133401	23037
PIP4K2C	ENSG00000166908	79837
NCKAP5	ENSG00000176771	344148
RDH5	ENSG00000135437	5959
FRMD6	ENSG00000139926	122786
ITGBL1	ENSG00000198542	9358
NUAK2	ENSG00000163545	81788
NRP2	ENSG00000118257	8828
MGST3	ENSG00000143198	4259
B4GALNT1	ENSG00000135454	2583
XG	ENSG00000124343	7499
NPAS1	ENSG00000130751	4861
MOXD1	ENSG00000079931	26002
MOV10L1	ENSG00000073146	54456
AK5	ENSG00000154027	26289
CLU	ENSG00000120885	1191
DAB2	ENSG00000153071	1601
JAG1	ENSG00000101384	182
TRIO	ENSG00000038382	7204
KIAA1671	ENSG00000197077	85379
CD24	ENSG00000272398	100133941
GLUL	ENSG00000135821	2752
ADA	ENSG00000196839	100
TMEM171	ENSG00000157111	134285
INPP4B	ENSG00000109452	8821
BCAM	ENSG00000187244	4059
ECM1	ENSG00000143369	1893
DNAJC6	ENSG00000116675	9829
ZIC4	ENSG00000174963	84107
PTGER3	ENSG00000050628	5733
FILIP1L	ENSG00000168386	11259
VLDLR	ENSG00000147852	7436
SFMBT2	ENSG00000198879	57713
GALNT11	ENSG00000178234	63917
SCIN	ENSG00000006747	85477
SLC22A3	ENSG00000146477	6581
CD74	ENSG00000019582	972
JAM3	ENSG00000166086	83700
SPINT2	ENSG00000167642	10653
TNIK	ENSG00000154310	23043
BTG2	ENSG00000159388	7832
SYNDIG1	ENSG00000101463	79953
GPNMB	ENSG00000136235	10457
CSGALNACT2	ENSG00000169826	55454
TRAF3IP2	ENSG00000056972	10758
PXDN	ENSG00000130508	7837
SLITRK1	ENSG00000178235	114798
PARD3	ENSG00000148498	56288
CDK5R1	ENSG00000176749	8851
SOBP	ENSG00000112320	55084
RET	ENSG00000165731	5979
PGRMC2	ENSG00000164040	10424
FBLN5	ENSG00000140092	10516
ANKRD1	ENSG00000148677	27063
CORO2B	ENSG00000103647	10391
ANK1	ENSG00000029534	286
DPEP1	ENSG00000015413	1800
MBP	ENSG00000197971	4155
JPH2	ENSG00000149596	57158
WFDC21P	ENSG00000261040	NA
PRICKLE2	ENSG00000163637	166336
MBNL1	ENSG00000152601	4154
BAD	ENSG00000002330	572
CST6	ENSG00000175315	1474
ALX4	ENSG00000052850	60529
FANCA	ENSG00000187741	2175
CAV2	ENSG00000105971	858
KCNMB1	ENSG00000145936	3779
TRAK1	ENSG00000182606	22906
MT1M	ENSG00000205364	4499
SLC22A23	ENSG00000137266	63027
COMP	ENSG00000105664	1311
ARHGEF28	ENSG00000214944	64283
FAM3C	ENSG00000196937	10447
CLDN23	ENSG00000253958	137075
CLDN23	ENSG00000285098	137075
EBF1	ENSG00000164330	1879
SYNGR2	ENSG00000108639	9144
LATS2	ENSG00000150457	26524
KCNK1	ENSG00000135750	3775
TUBB3	ENSG00000258947	10381
ADAMTS12	ENSG00000151388	81792
ADAMTS12	ENSG00000281690	81792
CNGA3	ENSG00000144191	1261
DOK6	ENSG00000206052	220164
PAPSS2	ENSG00000198682	9060
MIR155HG	ENSG00000234883	114614
PPP2R3A	ENSG00000073711	5523
OSBP2	ENSG00000184792	23762
SLC44A2	ENSG00000129353	57153
ZNF219	ENSG00000165804	51222
CAV1	ENSG00000105974	857
WNT5B	ENSG00000111186	81029
CERS4	ENSG00000090661	79603
GLIPR1	ENSG00000139278	11010
ADGRG1	ENSG00000205336	9289
KLHL29	ENSG00000119771	114818
ST6GAL1	ENSG00000073849	6480
PRTG	ENSG00000166450	283659
KLF10	ENSG00000155090	7071
SHPK	ENSG00000197417	23729
HCN2	ENSG00000099822	610
KIAA0040	ENSG00000235750	9674
GUCY1A2	ENSG00000152402	2977
ZMAT3	ENSG00000172667	64393
CASC4	NA	NA
PCSK9	ENSG00000169174	255738
STK33	ENSG00000130413	65975
VKORC1	ENSG00000167397	79001
ANOS1	ENSG00000011201	3730
IGF2	ENSG00000167244	3481
HOXD13	ENSG00000128714	3239
A2M	ENSG00000175899	2
PUS7L	ENSG00000129317	83448
LMAN1	ENSG00000074695	3998
RAB11FIP1	ENSG00000156675	80223
COL15A1	ENSG00000204291	1306
CRISPLD2	ENSG00000103196	83716
FRMD3	ENSG00000172159	257019
CITED2	ENSG00000164442	10370
HOXC6	ENSG00000197757	3223
IGFBP1	ENSG00000146678	3484
CAMKK1	ENSG00000004660	84254
RASL10B	ENSG00000270885	91608
COPZ2	ENSG00000005243	51226
EBF4	ENSG00000088881	57593
AKAP12	ENSG00000131016	9590
PID1	ENSG00000153823	55022
ASTN1	ENSG00000152092	460
WNT2	ENSG00000105989	7472
CHRD	ENSG00000090539	8646
JARID2	ENSG00000008083	3720
LOX	ENSG00000113083	4015
FIGNL1	ENSG00000132436	63979
MT1E	ENSG00000169715	4493
AEBP1	ENSG00000106624	165
IL33	ENSG00000137033	90865
LRCH2	ENSG00000130224	57631
C11orf87	ENSG00000185742	399947
KANK4	ENSG00000132854	163782
LOXL3	ENSG00000115318	84695
SLC29A1	ENSG00000112759	2030
PTPRN2	ENSG00000155093	5799
PTPRN2	ENSG00000282185	5799
LRRC49	ENSG00000137821	54839
CXCL5	ENSG00000163735	6374
PPAPDC1A	NA	NA
PPAPDC3	NA	NA
IL20RB	ENSG00000174564	53833
ARHGDIB	ENSG00000111348	397
PLCL2	ENSG00000154822	23228
PLCL2	ENSG00000284017	23228
PSG1	ENSG00000231924	5669
BDKRB2	ENSG00000168398	624
TYMP	ENSG00000025708	1890
ARHGAP19	ENSG00000213390	84986
IFITM10	ENSG00000244242	402778
IFITM10	ENSG00000281618	402778
PBX1	ENSG00000185630	5087
WTAPP1	ENSG00000255282	100288077
CHST3	ENSG00000122863	9469
FAM20A	ENSG00000108950	54757
TRPM4	ENSG00000130529	54795
NASP	ENSG00000132780	4678
NIPAL3	ENSG00000001461	57185
TCF19	ENSG00000137310	6941
TCF19	ENSG00000206455	6941
TCF19	ENSG00000224379	6941
TCF19	ENSG00000224472	6941
TCF19	ENSG00000224941	6941
TCF19	ENSG00000233890	6941
TCF19	ENSG00000234674	6941
GRHL1	ENSG00000134317	29841
SRGAP1	ENSG00000196935	57522
ANXA4	ENSG00000196975	307
NAALAD2	ENSG00000077616	10003
NAALAD2	ENSG00000285516	10003
RHOU	ENSG00000116574	58480
RHOU	ENSG00000284984	58480
TH	ENSG00000180176	7054
RAB38	ENSG00000123892	23682
F3	ENSG00000117525	2152
USP43	ENSG00000154914	124739
CMAHP	ENSG00000168405	NA
TRPC3	ENSG00000138741	7222
ESM1	ENSG00000164283	11082
HIF3A	ENSG00000124440	64344
SYPL2	ENSG00000143028	284612
CLGN	ENSG00000153132	1047
TWIST2	ENSG00000233608	117581
TWIST2	ENSG00000288335	117581
C17orf51	NA	NA
IL17RD	ENSG00000144730	54756
GUCY1A3	NA	NA
KDM6B	ENSG00000132510	23135
LOXL1-AS1	ENSG00000261801	100287616
PEG10	ENSG00000242265	23089
TBC1D2	ENSG00000095383	55357
MXRA5	ENSG00000101825	25878
POLR1E	ENSG00000137054	64425
ARL6IP5	ENSG00000144746	10550
HSP90AA1	ENSG00000080824	3320
GRIA1	ENSG00000155511	2890
FERMT3	ENSG00000149781	83706
PDGFRL	ENSG00000104213	5157
COL18A1	ENSG00000182871	80781
LOC90768	NA	NA
LINC01272	NA	NA
NAGS	ENSG00000161653	162417
TGIF2	ENSG00000118707	60436
CAMK1D	ENSG00000183049	57118
SDSL	ENSG00000139410	113675
CXCL2	ENSG00000081041	2920
MATN2	ENSG00000132561	4147
TSPYL1	ENSG00000189241	7259
ARL4C	ENSG00000188042	10123
MBNL1-AS1	ENSG00000229619	401093
FAM86FP	ENSG00000164845	NA
SLC35E2	NA	NA
SLC35F5	ENSG00000115084	80255
RGL3	ENSG00000205517	57139
TANGO2	ENSG00000183597	128989
SLC16A13	ENSG00000174327	201232
POLH	ENSG00000170734	5429
CMPK2	ENSG00000134326	129607
GLMP	ENSG00000198715	112770
SELPLG	ENSG00000110876	6404
RECQL	ENSG00000004700	5965
ZNF804A	ENSG00000170396	91752
IL27RA	ENSG00000104998	9466
IL27RA	ENSG00000288185	9466
GPC1	ENSG00000063660	2817
CSRP1	ENSG00000159176	1465
CBLN3	ENSG00000139899	643866
TDRP	ENSG00000180190	157695
TRIM29	ENSG00000137699	23650
ERCC2	ENSG00000104884	2068
FABP3	ENSG00000121769	2170
RAI2	ENSG00000131831	10742
THEMIS	ENSG00000172673	387357
THEMIS	ENSG00000275122	387357
LAMA5	ENSG00000130702	3911
AURKB	ENSG00000178999	9212
LINC00595	ENSG00000230417	414243
MKRN3	ENSG00000179455	7681
MT1F	ENSG00000198417	4494
ANKRD34A	ENSG00000272031	284615
SCUBE3	ENSG00000146197	222663
AKR1C3	ENSG00000196139	8644
KCNF1	ENSG00000162975	3754
MDK	ENSG00000110492	4192
H3F3B	NA	NA
LIMCH1	ENSG00000064042	22998
ECHDC3	ENSG00000134463	79746
PLA2G15	ENSG00000103066	23659
PDLIM5	ENSG00000163110	10611
LAMA4	ENSG00000112769	3910
GRAMD3	NA	NA
PLCXD1	ENSG00000182378	55344
SAMD9L	ENSG00000177409	219285
FGF13	ENSG00000129682	2258
C19orf48	ENSG00000167747	84798
PCYT2	ENSG00000185813	5833
DIP2C	ENSG00000151240	22982
GJD3	ENSG00000183153	125111
PTPRB	ENSG00000127329	5787
FOXL2	ENSG00000183770	668
ADORA1	ENSG00000163485	134
TGFA	ENSG00000163235	7039
GALNT10	ENSG00000164574	55568
ARHGAP24	ENSG00000138639	83478
MOCS1	ENSG00000124615	4337
HS3ST3A1	ENSG00000153976	9955
LAMA3	ENSG00000053747	3909
ARHGAP20	ENSG00000137727	57569
FBXO41	ENSG00000163013	150726
IFITM1	ENSG00000185885	8519
EPHX2	ENSG00000120915	2053
MYBL2	ENSG00000101057	4605
ITGB2-AS1	ENSG00000227039	100505746
ABCB6	ENSG00000115657	10058
PDK3	ENSG00000067992	5165
NALCN	ENSG00000102452	259232
SETBP1	ENSG00000152217	26040
LINC00657	NA	NA
MCM7	ENSG00000166508	4176
ERAP1	ENSG00000164307	51752
LRRC2	ENSG00000163827	79442
C16orf45	NA	NA
SLC20A2	ENSG00000168575	6575
IFI30	ENSG00000216490	10437
ZRSR2	ENSG00000169249	8233
FAIM2	ENSG00000135472	23017
ADRB2	ENSG00000169252	154
CTSK	ENSG00000143387	1513
CKAP2L	ENSG00000169607	150468
HDAC9	ENSG00000048052	9734
TUSC1	ENSG00000198680	286319
ATP6V0A1	ENSG00000033627	535
PLBD1	ENSG00000121316	79887
TMEM2	NA	NA
HIPK2	ENSG00000064393	28996
CCNYL1	ENSG00000163249	151195
LINC00886	ENSG00000240875	730091
PSD4	ENSG00000125637	23550
TCTA	ENSG00000145022	6988
ZNF528	ENSG00000167555	84436
TANC1	ENSG00000115183	85461
SIM1	ENSG00000112246	6492
EHD1	ENSG00000110047	10938
CH25H	ENSG00000138135	9023
DNM1	ENSG00000106976	1759
KIAA1755	ENSG00000149633	85449
ACPP	NA	NA
ARC	ENSG00000198576	23237
TMSB4X	ENSG00000205542	7114
CCDC184	ENSG00000177875	387856
FRMD8	ENSG00000126391	83786
CSRP2	ENSG00000175183	1466
HAGLROS	ENSG00000226363	NA
MIR646HG	ENSG00000228340	284757
LMO7DN	ENSG00000178734	729420
ST6GALNAC3	ENSG00000184005	256435
P2RX4	ENSG00000135124	5025
GLTP	ENSG00000139433	51228
SHANK2	ENSG00000162105	22941
CADM1	ENSG00000182985	23705
CXCL3	ENSG00000163734	2921
EPHB1	ENSG00000154928	2047
NCAPH2	ENSG00000025770	29781
LDHA	ENSG00000134333	3939
LDHA	ENSG00000288299	3939
ASPHD1	ENSG00000174939	253982
TMEM26	ENSG00000196932	219623
RGAG4	NA	NA
SCN5A	ENSG00000183873	6331
GRIN2D	ENSG00000105464	2906
CPXM1	ENSG00000088882	56265
LINC00998	NA	NA
NAP1L2	ENSG00000186462	4674
ANO5	ENSG00000171714	203859
TMEM19	ENSG00000139291	55266
WDR63	NA	NA
NIPSNAP3A	ENSG00000136783	25934
IL13RA2	ENSG00000123496	3598
GALNT12	ENSG00000119514	79695
CORO6	ENSG00000167549	84940
ACOT13	ENSG00000112304	55856
RTN4RL1	ENSG00000185924	146760
TP53INP2	ENSG00000078804	58476
N4BP3	ENSG00000145911	23138
MME	ENSG00000196549	4311
PLK4	ENSG00000142731	10733
RECQL4	ENSG00000160957	9401
GCNT4	ENSG00000176928	51301
SYNC	ENSG00000162520	81493
PC	ENSG00000173599	5091
EML1	ENSG00000066629	2009
CPVL	ENSG00000106066	54504
CLDN4	ENSG00000189143	1364
FGFR2	ENSG00000066468	2263
ZNF536	ENSG00000198597	9745
LCP1	ENSG00000136167	3936
MIAT	ENSG00000225783	440823
MAML3	ENSG00000196782	55534
LGALSL	ENSG00000119862	29094
PTMA	ENSG00000187514	5757
MMP24-AS1	NA	NA
DIP2B	ENSG00000066084	57609
MAP4K3	ENSG00000011566	8491
EPSTI1	ENSG00000133106	94240
CXXC5	ENSG00000171604	51523
PLCB4	ENSG00000101333	5332
ZMIZ1-AS1	ENSG00000224596	NA
OBSCN	ENSG00000154358	84033
MASP1	ENSG00000127241	5648
ITGA2	ENSG00000164171	3673
LOC400043	NA	NA
ASB5	ENSG00000164122	140458
DOCK2	ENSG00000134516	1794
RAB29	ENSG00000117280	8934
OGDH	ENSG00000105953	4967
SLC43A1	ENSG00000149150	8501
ZNF703	ENSG00000183779	80139
SLC4A3	ENSG00000114923	6508
COL12A1	ENSG00000111799	1303
BGN	ENSG00000182492	633
MX2	ENSG00000183486	4600
EIF4EBP1	ENSG00000187840	1978
KCNE4	ENSG00000152049	23704
SLC38A5	ENSG00000017483	92745
AK1	ENSG00000106992	203
GREB1L	ENSG00000141449	80000
LINC00842	ENSG00000285294	643650
FOXD1	ENSG00000251493	2297
CYP2S1	ENSG00000167600	29785
HOXD1	ENSG00000128645	3231
CAMK2G	ENSG00000148660	818
ZNF521	ENSG00000198795	25925
STEAP3	ENSG00000115107	55240
PPP4R4	ENSG00000119698	57718
PPP4R4	ENSG00000278326	57718
LRRC1	ENSG00000137269	55227
ARPC4	ENSG00000241553	10093
TMEM237	ENSG00000155755	65062
NHSL2	ENSG00000204131	340527
RAP1GAP2	ENSG00000132359	23108
PCDHGA3	ENSG00000254245	56112
MAP3K4	ENSG00000085511	4216
GPR1	ENSG00000183671	2825
GPR1	ENSG00000283448	2825
